STAID,LOCAL,DATES,TIMES,MEDIM,STYPE,SAMPL,LABNO,HUNIT,GUNIT,PRJCT,LATDD,LNGDD,CNTYC,DATTD,DATTM,GUERA,GUNNM,GUSER,GUSYS,HDATM,SALTD,SNAME,VDATM,MAJRIVBAS,WELLUSE,WELLCOMPIN
431409076591201,WN 902,20121024,0900,WG,9,01300027,2990027,041401010402,357SLRNL,GC12LK000,43.23586111,-76.98669444,117,201210240900 EST,201210240900,Paleozoic,"Silurian, Lower",Lower,Silurian,NAD83,330,WN 902,NGVD29,Central NY,Domestic,Bedrock
431409076591201,WN 902,20121024,0902,WG,9,01300429,,041401010402,357SLRNL,,43.23586111,-76.98669444,117,201210240902 EST,201210240902,Paleozoic,"Silurian, Lower",Lower,Silurian,NAD83,330,WN 902,NGVD29,Central NY,Domestic,Bedrock
431409076591201,WN 902,20121024,0903,WG,9,01300430,,041401010402,357SLRNL,,43.23586111,-76.98669444,117,201210240903 EST,201210240903,Paleozoic,"Silurian, Lower",Lower,Silurian,NAD83,330,WN 902,NGVD29,Central NY,Domestic,Bedrock
430948077213601,WN 926,20120829,0800,WG,9,01201781,2480001,041402010501,112SDGV,GC12LK000,43.16386111,-77.35755556,117,201208290800 EST,201208290800,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,500,WN 926,NGVD29,Central NY,Domestic,Sand and Gravel
430948077213601,WN 926,20120829,0802,WG,9,01202465,,041402010501,112SDGV,,43.16386111,-77.35755556,117,201208290802 EST,201208290802,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,500,WN 926,NGVD29,Central NY,Domestic,Sand and Gravel
430948077213601,WN 926,20120829,0803,WG,9,01202466,,041402010501,112SDGV,,43.16386111,-77.35755556,117,201208290803 EST,201208290803,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,500,WN 926,NGVD29,Central NY,Domestic,Sand and Gravel
430546077065701,WN 957,20121016,0830,WG,9,01300024,2930124,041402010502,351VRNN,GC12LK000,43.09613889,-77.11580556,117,201210160830 EST,201210160830,Paleozoic,Vernon Shale,Upper,Silurian,NAD83,504.1,WN 957,NAVD88,Central NY,Domestic,Bedrock
430546077065701,WN 957,20121016,0832,WG,9,01300420,,041402010502,BEDROCK,,43.09613889,-77.11580556,117,201210160832 EST,201210160832,,Bedrock,,,NAD83,504.1,WN 957,NAVD88,Central NY,Domestic,Bedrock
430546077065701,WN 957,20121016,0833,WG,9,01300421,,041402010502,BEDROCK,,43.09613889,-77.11580556,117,201210160833 EST,201210160833,,Bedrock,,,NAD83,504.1,WN 957,NAVD88,Central NY,Domestic,Bedrock
423135077000801,YA 138,20121204,1000,WG,9,01300324,3420003,041402010802,112SDGV,GC12LK000,42.52711111,-77.00172222,123,201212041000 EST,201212041000,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1040,YA 138,NGVD29,Central NY,Production,Sand and Gravel
